[2021-05-21 19:10:18.909236 +09:00] KRW-LAMB, last: 73.8, min: 69.6
[2021-05-21 19:10:19.873106 +09:00] KRW-ELF, last: 540, min: 506
[2021-05-21 19:10:19.873991 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:20.885900 +09:00] KRW-ELF, last: 540, min: 505
[2021-05-21 19:10:20.887268 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:21.899156 +09:00] KRW-ELF, last: 540, min: 505
[2021-05-21 19:10:21.900628 +09:00] KRW-LAMB, last: 73.7, min: 69.6
[2021-05-21 19:10:22.893442 +09:00] KRW-ELF, last: 540, min: 505
[2021-05-21 19:10:22.894643 +09:00] KRW-LAMB, last: 73.9, min: 69.6
[2021-05-21 19:10:23.905538 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:23.911836 +09:00] KRW-ELF, last: 541, min: 505
[2021-05-21 19:10:24.875939 +09:00] KRW-ELF, last: 543, min: 506
[2021-05-21 19:10:24.877174 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:25.896784 +09:00] KRW-ELF, last: 541, min: 505
[2021-05-21 19:10:25.897371 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:26.897994 +09:00] KRW-ELF, last: 544, min: 505
[2021-05-21 19:10:26.899859 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:27.877266 +09:00] KRW-ELF, last: 543, min: 505
[2021-05-21 19:10:27.878673 +09:00] KRW-LAMB, last: 74, min: 69.6
[2021-05-21 19:10:28.884647 +09:00] KRW-ELF, last: 543, min: 505
[2021-05-21 19:10:28.885943 +09:00] KRW-LAMB, last: 73.9, min: 69.6
[2021-05-21 19:10:29.891281 +09:00] KRW-ELF, last: 543, min: 504
[2021-05-21 19:10:29.892683 +09:00] KRW-LAMB, last: 74.1, min: 69.6
[2021-05-21 19:10:30.876564 +09:00] KRW-ELF, last: 544, min: 504
[2021-05-21 19:10:30.877810 +09:00] KRW-LAMB, last: 74.3, min: 69.6
[2021-05-21 19:10:31.861487 +09:00] KRW-ELF, last: 542, min: 503
[2021-05-21 19:10:31.862027 +09:00] KRW-LAMB, last: 74.3, min: 69.9
[2021-05-21 19:10:32.857273 +09:00] KRW-ELF, last: 541, min: 504
[2021-05-21 19:10:32.858420 +09:00] KRW-LAMB, last: 74.5, min: 69.9
[2021-05-21 19:10:33.865786 +09:00] KRW-ELF, last: 542, min: 503
[2021-05-21 19:10:33.866561 +09:00] KRW-LAMB, last: 74.1, min: 69.9
[2021-05-21 19:10:34.886700 +09:00] KRW-ELF, last: 541, min: 503
[2021-05-21 19:10:34.887925 +09:00] KRW-LAMB, last: 74.5, min: 69.9
[2021-05-21 19:10:35.862926 +09:00] KRW-ELF, last: 542, min: 503
[2021-05-21 19:10:35.864379 +09:00] KRW-LAMB, last: 74.5, min: 69.9
[2021-05-21 19:10:36.876722 +09:00] KRW-ELF, last: 538, min: 503
[2021-05-21 19:10:36.878056 +09:00] KRW-LAMB, last: 74.3, min: 69.9
